,Date,Quantite,Prix
0,19:09:05:118741,10504,0.06
1,19:09:05:963515,10504,0.06
2,19:09:06:966405,10504,0.06
3,19:09:07:965312,10504,0.06
4,19:09:08:966223,10504,0.06
5,19:09:09:967133,10504,0.06
6,19:09:10:975049,10504,0.06
7,19:09:11:968952,10504,0.06
