,Date,Quantite,Prix
0,19:09:04:977971,1706,0.19
1,19:09:05:962513,1706,0.19
2,19:09:06:965404,1706,0.19
3,19:09:07:966314,1706,0.19
4,19:09:08:964221,1706,0.19
5,19:09:09:971136,1706,0.19
6,19:09:10:967041,1706,0.19
7,19:09:11:967951,1706,0.19
